"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 27 10:50:32 GMT 2024","Tue Feb 27 10:50:48 GMT 2024","16364","","Cars","","","","Car 005",""
"passed","Tue Feb 27 10:49:26 GMT 2024","Tue Feb 27 10:49:43 GMT 2024","16049","","Cars","","","","Car 001",""
"passed","Tue Feb 27 10:50:48 GMT 2024","Tue Feb 27 10:51:04 GMT 2024","15359","","Cars","","","","Car 006",""
"passed","Tue Feb 27 10:51:04 GMT 2024","Tue Feb 27 10:51:19 GMT 2024","15223","","Cars","","","","Car 007",""
"failed","Tue Feb 27 10:49:59 GMT 2024","Tue Feb 27 10:50:15 GMT 2024","16389","","Cars","","","","Car 003",""
"failed","Tue Feb 27 10:49:43 GMT 2024","Tue Feb 27 10:49:59 GMT 2024","16484","","Cars","","","","Car 002",""
"passed","Tue Feb 27 10:51:35 GMT 2024","Tue Feb 27 10:51:51 GMT 2024","15107","","Cars","","","","Car 009",""
"failed","Tue Feb 27 10:51:19 GMT 2024","Tue Feb 27 10:51:35 GMT 2024","16456","","Cars","","","","Car 008",""
"failed","Tue Feb 27 10:50:15 GMT 2024","Tue Feb 27 10:50:32 GMT 2024","16440","","Cars","","","","Car 004",""
"failed","Tue Feb 27 10:51:51 GMT 2024","Tue Feb 27 10:52:07 GMT 2024","16283","","Cars","","","","Car 010",""
