"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38826","Car 007","","Tue Apr 29 13:47:29 GMT 2025","failed","Tue Apr 29 13:48:08 GMT 2025","","Cars","",""
"","40745","Car 006","","Tue Apr 29 13:46:48 GMT 2025","failed","Tue Apr 29 13:47:29 GMT 2025","","Cars","",""
"","39322","Car 001","","Tue Apr 29 13:43:33 GMT 2025","failed","Tue Apr 29 13:44:13 GMT 2025","","Cars","",""
"","38816","Car 008","","Tue Apr 29 13:48:08 GMT 2025","failed","Tue Apr 29 13:48:46 GMT 2025","","Cars","",""
"","38859","Car 003","","Tue Apr 29 13:44:52 GMT 2025","failed","Tue Apr 29 13:45:30 GMT 2025","","Cars","",""
"","38794","Car 010","","Tue Apr 29 13:49:25 GMT 2025","failed","Tue Apr 29 13:50:04 GMT 2025","","Cars","",""
"","38786","Car 005","","Tue Apr 29 13:46:09 GMT 2025","failed","Tue Apr 29 13:46:48 GMT 2025","","Cars","",""
"","38813","Car 009","","Tue Apr 29 13:48:47 GMT 2025","failed","Tue Apr 29 13:49:25 GMT 2025","","Cars","",""
"","38800","Car 002","","Tue Apr 29 13:44:13 GMT 2025","failed","Tue Apr 29 13:44:52 GMT 2025","","Cars","",""
"","38827","Car 004","","Tue Apr 29 13:45:30 GMT 2025","failed","Tue Apr 29 13:46:09 GMT 2025","","Cars","",""
